Site;Potfolio;Status;Estado;Cidade;Latitude_Decimal;Longitude_Decimal;Primeiro;Origem;Dispo;Classe;Data;Pred;Total;Estrutura;Extensao;Tipo;Reforco;Cliente_1;Cliente_2;Cliente_3;Cliente_4;Cliente_5;Estacao
1;C;Active;AC;Rio Branco;-50,025643;-62,055526;H;A;Y;C;30/09/2015;0;60;60;N;Self Support;N;;;;;;682913979
2;A;Active;AC;Rio Branco;-55,05483;-68,24228;E;A;Y;C;19/11/2014;;;80;N;Self Support;N;;;;;;682913995
3;C;Active;AC;Rio Branco;-55,050565;-68,244628;H;A;Y;C;29/04/2015;;;70;N;Self Support;N;;;;;;683022725
4;C;Active;AC;Rio Branco;-3,822025;-62,348249;I;B;Y;C;08/09/2015;0;40;40;N;Self Support;N;;;;;;683324705
5;C;Active;AC;Rio Branco;-3,840028;-62,352256;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;684498227
6;D;Active;AC;Rio Branco;-2,625221;-22,62043;I;A;Y;C;19/11/2014;;;79.02;N;Self Support;N;;;;;;684498235
7;C;Active;AC;Rio Branco;-2,642422;-22,663223;H;A;Y;C;29/04/2015;0;50;50;N;Self Support;N;;;;;;684498243
8;D;Active;AC;Rio Branco;-2,588566;-22,255047;G;A;Y;C;31/08/2012;;;50;N;Self Support;N;;X;;;;684498251
9;C;Active;AC;Rio Branco;-2,605406;-22,684806;H;A;Y;C;29/04/2015;0;60;60;N;Self Support;N;;X;;;;684570947
10;C;Active;AC;Rio Branco;-55,024288;-68,242205;G;B;Y;C;24/11/2007;0;70;70;N;Self Support;N;;;;;;684577283
11;C;Active;AC;Rio Branco;-50,30505;-68,564544;G;B;Y;C;10/05/2016;0;80;80;;Self Support;;;;;;;684779285
12;D;Active;AL;Maceió;-50,423253;-62,586552;G;A;Y;C;30/06/2012;0;70.8;70.8;N;Self Support;Y;;;;;;684779498
13;D;Active;AL;Maceió;-3,226286;-62,202633;I;A;Y;C;06/09/2012;;60;60;N;Self Support;N;;;;;;684779978
14;D;Active;AL;Maceió;-3,680422;-62,242555;A;A;Y;C;15/12/2017;0;10;10;;Self Support;;;;;;;684849470
15;C;Active;AL;Maceió;-3,320438;-62,858255;C;B;Y;C;31/12/2001;0;50;50;N;Self Support;N;;;;X;;1000172586
16;D;Active;AL;Maceió;-3,334526;-62,826045;I;A;Y;C;19/11/2014;;;50.37;N;Self Support;N;;;;;;1000172705
17;C;Active;AL;Maceió;-3,342442;-62,822422;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;1000179572
18;D;Active;AL;Maceió;-50,045355;-62,283645;G;A;Y;C;31/08/2012;;;60;N;Self Support;Y;;X;;;;1000180074
19;C;Active;AL;Maceió;-3,360355;-62,852545;C;B;Y;C;31/12/2001;0;56.7;56.7;N;Self Support;N;;;;;;1000183154
20;A;Active;AL;Maceió;-3,345555;-62,824342;E;A;Y;C;19/11/2014;;;40;N;Self Support;Y;;;;;;1000183979
21;C;Active;AL;Maceió;-3,86554;-62,352324;H;A;Y;C;29/04/2015;;;30;N;Monopole;N;;;;;;1000185149
22;C;Active;AL;Maceió;-3,362443;-62,234856;G;B;Y;C;27/03/2009;0;50;50;N;Self Support;N;;;;;;1004686819
23;C;Active;AL;Maceió;-3,338542;-62,802354;H;A;Y;C;29/04/2015;;;70;N;Self Support;N;;;;;;682914002
24;C;Active;AL;Maceió;-3,324302;-62,845623;G;B;Y;C;03/03/2009;0;50;50;N;Self Support;N;;;;;;689270232
25;C;Active;AL;Maceió;-3,368457;-62,868634;B;B;Y;C;17/11/2005;0;52;52;N;Self Support;N;;X;;;;1058
26;C;Active;AL;Maceió;-3,352443;-62,825455;B;B;Y;B;28/01/2011;2;14;12;N;Mastil;N;;X;;;;2119
27;C;Active;AL;Maceió;-50,042444;-62,238855;H;A;Y;C;29/04/2015;;;50;N;Self Support;N;;;;;;137936
28;C;Active;AL;Maceió;-3,380502;-62,842424;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;167878
29;C;Active;AL;Maceió;-3,358585;-62,842356;H;A;Y;C;30/09/2015;0;40;40;N;Self Support;N;;;;;;280496
30;C;Active;AL;Maceió;-3,352222;-62,238656;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;X;;;;280500
31;C;Active;AL;Maceió;-3,383605;-62,826435;H;A;Y;C;30/09/2015;0;50;50;N;Self Support;N;;X;;;;281328
32;C;Active;AL;Maceió;-3,345222;-62,885556;H;A;Y;C;30/09/2015;;;50;N;Self Support;N;;X;;;;281441
33;C;In Development;AL;Maceió;-3,085667;-68,622222;G;B;Y;C;;;;50;;Self Support;;;;;;;281727
34;C;Active;AL;Maceió;-3,068229;-68,662424;H;A;Y;C;29/04/2015;;;60;N;Self Support;N;;;;;;281867
